"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_STATUS","EMPLOYMENT_STATUS_NAME","EMPLOYMENT_STATUS_CODE","EMPLOYMENT_STATUS_TYPE","EMPLOYMENT_STATUS_TYPECODE","EMPLOYMENT_STATUS_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800641","01 : Crop and animal production, hunting and related service activities","01","SIC 2007 division (2 digit)",35,0,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",194000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800641d0d1d1d3d20100",0,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800641","01 : Crop and animal production, hunting and related service activities","01","SIC 2007 division (2 digit)",35,0,"2","Full-time employees","2","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",143000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800641d0d2d1d3d20100",1,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800641","01 : Crop and animal production, hunting and related service activities","01","SIC 2007 division (2 digit)",35,0,"3","Part-time employees","3","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",51000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800641d0d3d1d3d20100",2,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800641","01 : Crop and animal production, hunting and related service activities","01","SIC 2007 division (2 digit)",35,0,"4","Employment","4","Employment",1000,3,"1","Count","1","percent",1000,0,"20100","Value",454000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800641d0d4d1d3d20100",3,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800642","02 : Forestry and logging","02","SIC 2007 division (2 digit)",35,1,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",16000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800642d0d1d1d3d20100",4,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800642","02 : Forestry and logging","02","SIC 2007 division (2 digit)",35,1,"2","Full-time employees","2","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",14000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800642d0d2d1d3d20100",5,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800642","02 : Forestry and logging","02","SIC 2007 division (2 digit)",35,1,"3","Part-time employees","3","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800642d0d3d1d3d20100",6,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800642","02 : Forestry and logging","02","SIC 2007 division (2 digit)",35,1,"4","Employment","4","Employment",1000,3,"1","Count","1","percent",1000,0,"20100","Value",20000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800642d0d4d1d3d20100",7,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800643","03 : Fishing and aquaculture","03","SIC 2007 division (2 digit)",35,2,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",10000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800643d0d1d1d3d20100",8,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800643","03 : Fishing and aquaculture","03","SIC 2007 division (2 digit)",35,2,"2","Full-time employees","2","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",9000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800643d0d2d1d3d20100",9,608
"2021","2021","2021","date",0,0,"2092957698","Great Britain","K03000001","countries",499,0,"146800643","03 : Fishing and aquaculture","03","SIC 2007 division (2 digit)",35,2,"3","Part-time employees","3","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",1000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32336e1d2092957698d146800643d0d3d1d3d20100",10,608
