"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","ITEM","ITEM_NAME","ITEM_CODE","ITEM_TYPE","ITEM_TYPECODE","ITEM_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"1","total workforce jobs","1","item",0,0,"20100","Value",52806,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994945d1d20100",0,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"2","employee jobs","2","item",0,1,"20100","Value",39555,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994945d2d20100",1,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"3","self-employment jobs","3","item",0,2,"20100","Value",13251,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994945d3d20100",2,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"4","government-supported trainees","4","item",0,3,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994945d4d20100",3,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994945d5d20100",4,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"1","total workforce jobs","1","item",0,0,"20100","Value",31658,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994946d1d20100",5,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"2","employee jobs","2","item",0,1,"20100","Value",29475,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994946d2d20100",6,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"3","self-employment jobs","3","item",0,2,"20100","Value",2183,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994946d3d20100",7,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"4","government-supported trainees","4","item",0,3,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994946d4d20100",8,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994946d5d20100",9,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"1","total workforce jobs","1","item",0,0,"20100","Value",184748,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994947d1d20100",10,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"2","employee jobs","2","item",0,1,"20100","Value",169025,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994947d2d20100",11,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"3","self-employment jobs","3","item",0,2,"20100","Value",15495,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994947d3d20100",12,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"4","government-supported trainees","4","item",0,3,"20100","Value",228,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994947d4d20100",13,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994947d5d20100",14,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"1","total workforce jobs","1","item",0,0,"20100","Value",20079,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994948d1d20100",15,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"2","employee jobs","2","item",0,1,"20100","Value",19239,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994948d2d20100",16,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"3","self-employment jobs","3","item",0,2,"20100","Value",840,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994948d3d20100",17,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"4","government-supported trainees","4","item",0,3,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994948d4d20100",18,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994948d5d20100",19,100
